country,year,iso_code,population,gdp,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,electricity_demand,electricity_demand_per_capita,electricity_generation,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,greenhouse_gas_emissions,net_elec_imports,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,other_renewable_consumption,other_renewable_electricity,per_capita_electricity,primary_energy_consumption,renewables_share_energy,country_encoded
Algeria,1965.0,DZA,12365979.0,35661973735.0,505.60499572753906,0.8674735426902771,0.0,65.83384704589844,0.8140999674797058,420.92698669433594,8.190000057220459,-2.1739161014556885,-0.0081410109996795,29.62523078918457,0.3663449883460998,68.74499893188477,5091.055908203125,59.43499946594238,2.743831992149353,6.391387939453125,2008.142578125,0.6960927419871575,3.907012701034546,0.989999771118164,7.430500030517578,691.0266723632812,15.18000030517578,600.8824462890625,197.8855743408203,19.428497314453125,2365.0810546875,29.24654197692871,31.135000228881836,0.0,2.3029232025146484,2.20571231842041,15.405251502990724,173.06849670410156,4.320000171661377,1245.7769775390625,-1.3201228380203247,-4.066864013671875,24583.59375,304.0002136230469,0.0,0.0,4298.709716796875,24.83264923095703,4.487349987030029,0
Algeria,1966.0,DZA,12590068.0,33932634033.0,505.60499572753906,-2.85713529586792,-0.0232599377632141,62.81459426879883,0.7908400297164917,420.92698669433594,8.190000057220459,-91.11111450195312,-0.3337810039520263,2.5864832401275635,0.0325639992952346,68.74499893188477,5091.055908203125,59.43499946594238,20.13429069519043,4.9998779296875,2369.528564453125,0.8788430933802078,3.886012554168701,0.2887501716613769,7.719250202178955,691.0266723632812,15.18000030517578,613.1221923828125,20.45929718017578,5.983636856079102,2798.251708984375,35.23017883300781,31.135000228881836,0.0,31.596067428588867,4.867453575134277,20.272705078125,173.06849670410156,4.320000171661377,1610.214111328125,28.704513549804688,87.26177978515625,31077.03515625,391.2619934082031,0.0,0.0,4298.709716796875,29.83252716064453,3.312553882598877,0
Algeria,1967.0,DZA,12876115.0,37094770661.0,505.60499572753906,-23.529415130615234,-0.1860800385475158,46.96758270263672,0.6047599911689758,420.92698669433594,8.190000057220459,325.0,0.1058329939842224,10.748350143432615,0.1383969932794571,68.74499893188477,5091.055908203125,59.43499946594238,-5.313398838043213,-1.5851211547851562,2193.783203125,0.7612286755616998,-2.9925241470336914,-0.2310004234313964,7.488249778747559,691.0266723632812,15.18000030517578,581.561279296875,-17.608322143554688,-6.20344352722168,2254.30859375,29.026735305786133,31.135000228881836,0.0,-6.563866138458252,-1.3306732177734375,18.94203186035156,173.06849670410156,4.320000171661377,1471.098388671875,14.870383262634276,58.182159423828125,34905.26171875,449.4441528320313,0.0,0.0,4298.709716796875,28.24740600585937,4.042349815368652,0
Algeria,1968.0,DZA,13172615.0,41423886061.0,505.60499572753906,5.769230365753174,0.0348899960517883,48.55907440185547,0.6396499872207642,420.92698669433594,8.190000057220459,-100.0,-0.1383969932794571,0.0,0.0,68.74499893188477,5091.055908203125,59.43499946594238,7.425750255584717,2.0975818634033203,2303.641845703125,0.7323151811668581,5.141391277313232,0.3850002288818359,7.873250007629394,691.0266723632812,15.18000030517578,597.6983032226562,43.794700622558594,12.71217155456543,3168.612060546875,41.73890686035156,31.135000228881836,0.0,6.468521118164063,1.2252693176269531,20.16730117797852,173.06849670410156,4.320000171661377,1531.0020751953125,9.777417182922363,43.94403076171875,37455.59765625,493.38818359375,0.0,0.0,4298.709716796875,30.34498786926269,5.170890808105469,0
Algeria,1969.0,DZA,13475959.0,45387458950.0,505.60499572753906,27.272724151611328,0.1744499802589416,60.41128158569336,0.8140999674797058,420.92698669433594,8.190000057220459,0.0234757512807846,0.154679000377655,11.478144645690918,0.154679000377655,68.74499893188477,5091.055908203125,59.43499946594238,10.526299476623535,3.194204330444336,2488.816650390625,0.7387334909822043,31.479217529296875,2.4784374237060547,10.35168743133545,691.0266723632812,15.18000030517578,768.1596069335938,-15.389114379882812,-6.423248291015625,2620.6416015625,35.31565856933594,31.135000228881836,0.0,5.645921230316162,1.138629913330078,21.305931091308597,173.06849670410156,4.320000171661377,1581.0325927734375,4.742733478546143,23.40008544921875,38348.90625,516.7882690429688,0.0,0.0,4298.709716796875,33.53919219970703,2.995646953582764,0
Algeria,1970.0,DZA,13783722.0,49945666845.0,505.60499572753906,18.57142639160156,0.1511899828910827,70.0311508178711,0.9652899503707886,420.92698669433594,8.190000057220459,-31.578947067260746,-0.048845998942852,7.678114891052246,0.105833001434803,68.74499893188477,5091.055908203125,59.43499946594238,9.599836349487305,3.219707489013672,2666.833984375,0.7357746701293371,-5.9972100257873535,-0.6208124160766602,9.730875015258787,691.0266723632812,15.18000030517578,705.9686279296875,-30.965112686157227,-10.93553352355957,1768.7620849609375,24.380125045776367,31.135000228881836,0.0,14.276532173156738,3.041748046875,24.347679138183597,173.06849670410156,4.320000171661377,1766.408203125,8.726524353027344,45.09765625,40764.45703125,561.8859252929688,0.0,0.0,4298.709716796875,36.7588996887207,4.39534330368042,0
Algeria,1971.0,DZA,14098937.0,45701215972.0,505.60499572753906,-72.28915405273438,-0.6977999210357666,18.972352981567383,0.2674899995326996,420.92698669433594,8.190000057220459,7.692304134368896,0.0081409960985183,8.083871841430664,0.1139739975333213,68.74499893188477,5091.055908203125,59.43499946594238,8.090410232543945,2.973945617675781,2818.144775390625,0.8691364310669847,13.55093479156494,1.318624496459961,11.04949951171875,691.0266723632812,15.18000030517578,783.7115478515625,5.408604145050049,1.318624496459961,1822.7437744140625,25.698749542236328,31.135000228881836,0.0,12.700885772705078,3.092370986938477,27.44005012512207,173.06849670410156,4.320000171661377,1946.2496337890625,-23.83564567565918,-133.92913818359375,30353.833984375,427.956787109375,0.0,0.0,4298.709716796875,39.73284530639648,2.310514450073242,0
Algeria,1972.0,DZA,14427075.0,55293908511.0,505.60499572753906,-13.043482780456545,-0.0348900109529495,16.12246322631836,0.23259998857975,420.92698669433594,8.190000057220459,-14.285714149475098,-0.0162819996476173,6.771434783935547,0.097691997885704,68.74499893188477,5091.055908203125,59.43499946594238,12.37013053894043,4.915004730224609,3094.726318359375,0.8072535220305225,16.1149959564209,1.7806262969970703,12.83012580871582,691.0266723632812,15.18000030517578,889.3088989257812,26.704120635986328,6.8626251220703125,2256.963134765625,32.56137466430664,31.135000228881836,0.0,9.771717071533203,2.681364059448242,30.121414184570312,173.06849670410156,4.320000171661377,2087.83935546875,35.1348991394043,150.3621826171875,40085.671875,578.3189697265625,0.0,0.0,4298.709716796875,44.64785003662109,3.0857865810394287,0
Algeria,1973.0,DZA,14771150.0,57097847688.0,505.60499572753906,15.000005722045898,0.0348900109529495,18.108949661254883,0.2674899995326996,420.92698669433594,8.190000057220459,8.33333683013916,0.0081410035490989,7.164844989776611,0.105833001434803,68.74499893188477,5091.055908203125,59.43499946594238,19.2681827545166,8.602828979492188,3605.046142578125,0.9323802412210946,39.19728088378906,5.029060363769531,17.85918617248535,691.0266723632812,15.18000030517578,1209.05859375,32.72243118286133,10.65487289428711,2925.719970703125,43.21624755859375,31.135000228881836,0.0,9.225764274597168,2.7789306640625,32.90034484863281,173.06849670410156,4.320000171661377,2227.338134765625,3.965994119644165,22.93609619140625,40704.6875,601.2550659179688,0.0,0.0,4298.709716796875,53.25067901611328,3.9326987266540527,0
Algeria,1974.0,DZA,15133508.0,60577884755.0,505.60499572753906,-17.391307830810547,-0.0465200096368789,14.601372718811035,0.2209699898958206,420.92698669433594,8.190000057220459,0.0,0.0,6.993289470672607,0.105833001434803,68.74499893188477,5091.055908203125,59.43499946594238,10.62569808959961,5.658256530761719,3892.615966796875,0.9722066429956978,15.763951301574709,2.8153133392333984,20.67449951171875,691.0266723632812,15.18000030517578,1366.140625,15.612479209899902,6.747127532958984,3301.506591796875,49.963375091552734,31.135000228881836,0.0,11.074332237243652,3.64349365234375,36.54383850097656,173.06849670410156,4.320000171661377,2414.76318359375,-7.475086212158203,-44.9443359375,36760.1953125,556.3107299804688,0.0,0.0,4298.709716796875,58.908935546875,2.347090721130371,0
